pay_item_number_raw,pay_item_number,subitem,suffix,description,unit,valid_values_1,valid_values_2,valid_values_3,source_file
1002 (2) e1,1002,2,e1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 50 mm dia. PN 10,Meter,,,,Part E_1000.pdf
1002 (2) e2,1002,2,e2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 50 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) e3,1002,2,e3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 50 mm dia. PN 20,Meter,,,,Part E_1000.pdf
1002 (2) f1,1002,2,f1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 63 mm dia. PN 10,Meter,,,,Part E_1000.pdf
1002 (2) f2,1002,2,f2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 63 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) f3,1002,2,f3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 63 mm dia. PN 20,Meter,,,,Part E_1000.pdf
1002 (2) g1,1002,2,g1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 75 mm dia. PN 10,Meter,,,,Part E_1000.pdf
1002 (2) g2,1002,2,g2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 75 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) g3,1002,2,g3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 75 mm dia. PN 20,Meter,,,,Part E_1000.pdf
1002 (2) h1,1002,2,h1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 100 mm dia. PN 10,Meter,,,,Part E_1000.pdf
1002 (2) h2,1002,2,h2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 100 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) h3,1002,2,h3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 100 mm dia. PN 20,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,a PVC Pipes (blue) with Fittings 20 mm dia,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,b PVC Pipes (blue) with Fittings 25 mm dia,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,c PVC Pipes (blue) with Fittings 32 mm dia,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,d PVC Pipes (blue) with Fittings 40 mm dia,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,e PVC Pipes (blue) with Fittings 50 mm dia,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,f PVC Pipes (blue) with Fittings 65 mm dia,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,g PVC Pipes (blue) with Fittings 75 mm dia,Meter,,,,Part E_1000.pdf
1002 (3),1002,3,,h PVC Pipes (blue) with Fittings 100 mm dia,Meter,,,,Part E_1000.pdf
1002 (4),1002,4,,Plumbing Fixtures Page 4 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part E_1000.pdf
1002 (5),1002,5,,"a Water Closet, Elongated, Complete Tank Type",Set,,,,Part E_1000.pdf
1002 (5),1002,5,,"b Water Closet, Elongated, Complete Flush Type",Set,,,,Part E_1000.pdf
1002 (6),1002,6,,"Water Closet, Elongated, Automatic Flush Valve, Complete Sensor Type",Set,,,,Part E_1000.pdf
1002 (7),1002,7,,"a Water Closet, Round Front, Complete Tank Type",Set,,,,Part E_1000.pdf
1002 (7),1002,7,,"b Water Closet, Round Front, Complete Flush Type",Set,,,,Part E_1000.pdf
1002 (8),1002,8,,"Water Closet, Round Front, Automatic Flush Valve, Complete Sensor Type",Set,,,,Part E_1000.pdf
1002 (9),1002,9,,"a Urinal, Flush Valve, Complete Push Button Type",Set,,,,Part E_1000.pdf
1002 (9),1002,9,,"b Urinal, Flush Valve, Complete Lever Arm Type",Set,,,,Part E_1000.pdf
1002 (10),1002,10,,"Urinal, Automatic Flush Valve, Complete Sensor Type",Set,,,,Part E_1000.pdf
1002 (11),1002,11,,"a Kitchen Sink, Complete Stainless",Set,,,,Part E_1000.pdf
1002 (11),1002,11,,"b Kitchen Sink, Complete Aluminum",Set,,,,Part E_1000.pdf
1002 (11),1002,11,,"c Kitchen Sink, Complete Plastic",Set,,,,Part E_1000.pdf
1002 (12),1002,12,,"Scrub Up Sink, Complete",Set,,,,Part E_1000.pdf
1002 (13),1002,13,,"Slop Sink, Complete",Set,,,,Part E_1000.pdf
1002 (14),1002,14,,"a Lavatory, Wall Hung, Complete Manually Operated",Set,,,,Part E_1000.pdf
1002 (14),1002,14,,"b Lavatory, Wall Hung, Complete Sensor Type",Set,,,,Part E_1000.pdf
1002 (15),1002,15,,"a Lavatory, Counter Top/Under Counter, Complete Manually Operated",Set,,,,Part E_1000.pdf
1002 (15),1002,15,,"b Lavatory, Counter Top/Under Counter, Complete Sensor Type",Set,,,,Part E_1000.pdf
1002 (16) a1,1002,16,a1,Floor Drain Plates 50 mm dia. Stainless,Set,,,,Part E_1000.pdf
1002 (16) a2,1002,16,a2,Floor Drain Plates 75 mm dia. Stainless,Set,,,,Part E_1000.pdf
1002 (16) a3,1002,16,a3,Floor Drain Plates 100 mm dia. Stainless,Set,,,,Part E_1000.pdf
1002 (16) b1,1002,16,b1,Floor Drain Plates 50 mm dia. Brass,Set,,,,Part E_1000.pdf
1002 (16) b2,1002,16,b2,Floor Drain Plates 75 mm dia. Brass,Set,,,,Part E_1000.pdf
1002 (16) b3,1002,16,b3,Floor Drain Plates 100 mm dia. Brass,Set,,,,Part E_1000.pdf
1002 (17),1002,17,,Bidet,Piece,,,,Part E_1000.pdf
1002 (18),1002,18,,Stainless Steel Grab Bar 40 mm dia,Linear Meter,,,,Part E_1000.pdf
1002 (19),1002,19,,Shower Head/Shower Valve,Set,,,,Part E_1000.pdf
1002 (20),1002,20,,Facial Mirror,Square Meter,,,,Part E_1000.pdf
1002 (21),1002,21,,Faucet Page 5 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Piece,,,,Part E_1000.pdf
1002 (22),1002,22,,Hose Bibb,Piece,,,,Part E_1000.pdf
1002 (23),1002,23,,a Water Meter 20 mm dia,Piece,,,,Part E_1000.pdf
1002 (23),1002,23,,b Water Meter 25 mm dia,Piece,,,,Part E_1000.pdf
1002 (23),1002,23,,c Water Meter 32 mm dia,Piece,,,,Part E_1000.pdf
1002 (24),1002,24,,Cold Water Lines,Lump Sum,,,,Part E_1000.pdf
1002 (25),1002,25,,Hot Water Lines,Lump Sum,,,,Part E_1000.pdf
1002 (26),1002,26,,Cistern,Lump Sum,,,,Part E_1000.pdf
1002 (27),1002,27,,Plumbing Works,Lump Sum,,,,Part E_1000.pdf
1002 (28),1002,28,,"a Squat Bowl, Complete Ceramic Porcelain",Set,,,,Part E_1000.pdf
1002 (28),1002,28,,"b Squat Bowl, Complete Plastic",Set,,,,Part E_1000.pdf
1002 (29),1002,29,,"Toilet Bowl, Complete Plastic",Set,,,,Part E_1000.pdf
1003 (1) a1,1003,1,a1,Ceiling 4.5 mm Metal Frame Fiber Cement Board,Square Meter,,,,Part E_1000.pdf
1003 (1) a2,1003,1,a2,Ceiling 4.5 mm Wood Frame Fiber Cement Board,Square Meter,,,,Part E_1000.pdf
1003 (1) b1,1003,1,b1,Ceiling 4.5 mm Metal Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (1) b2,1003,1,b2,Ceiling 4.5 mm Wood Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (1) b3,1003,1,b3,Ceiling 6 mm Metal Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (1) b4,1003,1,b4,Ceiling 6 mm Wood Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (1) c1,1003,1,c1,Ceiling 6 mm Metal Frame Ordinary Plywood,Square Meter,,,,Part E_1000.pdf
1003 (1) c2,1003,1,c2,Ceiling 6 mm Wood Frame Ordinary Plywood,Square Meter,,,,Part E_1000.pdf
1003 (1),1003,1,,d Ceiling Metal Frame Gypsum Board,Square Meter,,,,Part E_1000.pdf
1003 (1),1003,1,,e Ceiling Metal Frame Prepainted Metal Panel,Square Meter,,,,Part E_1000.pdf
1003 (1),1003,1,,f Ceiling Metal Frame Aluminum Metal Cladding,Square Meter,,,,Part E_1000.pdf
1003 (1),1003,1,,g Ceiling Wood Frame Wood,Square Meter,,,,Part E_1000.pdf
1003 (2) a1,1003,2,a1,Wall 4.5 mm Metal Frame Fiber Cement Board Page 6 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1003 (2) a2,1003,2,a2,Wall 4.5 mm Wood Frame Fiber Cement Board,Square Meter,,,,Part E_1000.pdf
1003 (2) a3,1003,2,a3,Wall 6 mm Metal Frame Fiber Cement Board,Square Meter,,,,Part E_1000.pdf
1003 (2) a4,1003,2,a4,Wall 10 mm Metal Frame Fiber Cement Board,Square Meter,,,,Part E_1000.pdf
1003 (2) a5,1003,2,a5,Wall 12 mm Metal Frame Fiber Cement Board,Square Meter,,,,Part E_1000.pdf
1003 (2) a6,1003,2,a6,Wall 6 mm Wood Frame Fiber Cement Board,Square Meter,,,,Part E_1000.pdf
1003 (2) b1,1003,2,b1,Wall 4.5 mm Metal Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (2) b2,1003,2,b2,Wall 4.5 mm Wood Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (2) b3,1003,2,b3,Wall 6 mm Metal Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (2) b4,1003,2,b4,Wall 6 mm Wood Frame Marine Plywood,Square Meter,,,,Part E_1000.pdf
1003 (2) c1,1003,2,c1,Wall 6 mm Metal Frame Ordinary Plywood,Square Meter,,,,Part E_1000.pdf
1003 (2) c2,1003,2,c2,Wall 6 mm Wood Frame Ordinary Plywood,Square Meter,,,,Part E_1000.pdf
1003 (2),1003,2,,d Wall Aluminum Metal Cladding,Square Meter,,,,Part E_1000.pdf
1003 (3),1003,3,,Cabinets,Square Meter,,,,Part E_1000.pdf
1003 (4),1003,4,,Cabinets,Each,,,,Part E_1000.pdf
1003 (5),1003,5,,Roof Frame Wood Board Foot,,,,,Part E_1000.pdf
1003 (6),1003,6,,Floor Frame Wood Board Foot,,,,,Part E_1000.pdf
1003 (7),1003,7,,Flooring Wood,Square Meter,,,,Part E_1000.pdf
1003 (8),1003,8,,Flooring Wood Board Foot,,,,,Part E_1000.pdf
1003 (9),1003,9,,Wall Frame Wood,Each,,,,Part E_1000.pdf
1003 (10),1003,10,,Wall Frame Wood,Meter,,,,Part E_1000.pdf
1003 (11) a1,1003,11,a1,Fascia Board 19 mm Fiber Cement Board,Meter,,,,Part E_1000.pdf
1003 (11) a2,1003,11,a2,Fascia Board 25 mm Lumber,Meter,,,,Part E_1000.pdf
1003 (12),1003,12,,Fascia Board Metal,Kilogram,,,,Part E_1000.pdf
1003 (13),1003,13,,Phenolic Board,Each,,,,Part E_1000.pdf
1003 (14),1003,14,,Phenolic Board,Square Meter,,,,Part E_1000.pdf
1003 (15),1003,15,,a Moulding Wood,Meter,,,,Part E_1000.pdf
1003 (15),1003,15,,b Moulding Concrete,Meter,,,,Part E_1000.pdf
1003 (15),1003,15,,c Moulding Precast Page 7 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part E_1000.pdf
1003 (15),1003,15,,d Moulding PVC,Meter,,,,Part E_1000.pdf
1003 (15),1003,15,,e Moulding Steel,Meter,,,,Part E_1000.pdf
1003 (16),1003,16,,Pressurized Laminated Wood Particles,Square Meter,,,,Part E_1000.pdf
1003 (17),1003,17,,Carpentry and Joinery Works,Lump Sum,,,,Part E_1000.pdf
1003 (18),1003,18,,Lawanit,Square Meter,,,,Part E_1000.pdf
1003 (19),1003,19,,Wooden Post Good Lumber Board Foot,,,,,Part E_1000.pdf
1003 (20),1003,20,,Coco Lumber Board Foot,,,,,Part E_1000.pdf
1003 (21),1003,21,,Moulding,Lump Sum,,,,Part E_1000.pdf
1003 (22),1003,22,,Modular Partition,Square Meter,,,,Part E_1000.pdf
1003 (23),1003,23,,Modular Partition,Lump Sum,,,,Part E_1000.pdf
1003 (24),1003,24,,Wall,Lump Sum,,,,Part E_1000.pdf
1004 (1),1004,1,,Rough Hardware,Lump Sum,,,,Part E_1000.pdf
1004 (2),1004,2,,Finishing Hardware,Lump Sum,,,,Part E_1000.pdf
1005 (1),1005,1,,Residential Casement,Square Meter,,,,Part E_1000.pdf
1005 (2),1005,2,,Heavy Duty Side-hinged Ventilator,Square Meter,,,,Part E_1000.pdf
1005 (3),1005,3,,Projected Ventilator,Square Meter,,,,Part E_1000.pdf
1005 (4),1005,4,,Awning Ventilator,Square Meter,,,,Part E_1000.pdf
1005 (5),1005,5,,Steel Window,Lump Sum,,,,Part E_1000.pdf
1005 (6),1005,6,,Window Accessory Page 8 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part E_1000.pdf
1006 (1),1006,1,,Hollow Steel Door,Square Meter,,,,Part E_1000.pdf
1006 (2),1006,2,,Flush Door,Square Meter,,,,Part E_1000.pdf
1006 (3),1006,3,,Grille Door,Square Meter,,,,Part E_1000.pdf
1006 (4),1006,4,,Steel Louver Door,Square Meter,,,,Part E_1000.pdf
1006 (5),1006,5,,Fire Rated Fire Exit Steel Door,Square Meter,,,,Part E_1000.pdf
1006 (6),1006,6,,Steel Doors and Frames,Lump Sum,,,,Part E_1000.pdf
1007 (1),1007,1,,a Aluminum Framed Glass Door Sliding Type,Square Meter,,,,Part E_1000.pdf
1007 (1),1007,1,,b Aluminum Framed Glass Door Swing Type,Square Meter,,,,Part E_1000.pdf
1007 (2),1007,2,,Aluminum Framed Glass Door,Lump Sum,,,,Part E_1000.pdf
1008 (1),1008,1,,a Aluminum Glass Windows Sliding Type,Square Meter,,,,Part E_1000.pdf
1008 (1),1008,1,,b Aluminum Glass Windows Casement Type,Square Meter,,,,Part E_1000.pdf
1008 (1),1008,1,,c Aluminum Glass Windows Awning Type,Square Meter,,,,Part E_1000.pdf
1008 (1),1008,1,,d Aluminum Glass Windows Fixed Type,Square Meter,,,,Part E_1000.pdf
1008 (2),1008,2,,Aluminum Glass Windows,Lump Sum,,,,Part E_1000.pdf
1009 (1),1009,1,,a Jalousie Windows Glass Page 9 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1009 (1),1009,1,,b Jalousie Windows Wood,Square Meter,,,,Part E_1000.pdf
1009 (2),1009,2,,"Jalousie Windows Jambs, Sills, Head,",Lump Sum,,,,Part E_1000.pdf
1010 (1),1010,1,,Frames Transoms and Mullions,Set,,,,Part E_1000.pdf
1010 (2),1010,2,,a Doors Flush,Square Meter,,,,Part E_1000.pdf
1010 (2),1010,2,,b Doors Wood Panel,Square Meter,,,,Part E_1000.pdf
1010 (2),1010,2,,c Doors Glass Panel,Square Meter,,,,Part E_1000.pdf
1010 (3),1010,3,,Window Sashes,Square Meter,,,,Part E_1000.pdf
1010 (4),1010,4,,Wooden Doors and Windows,Lump Sum,,,,Part E_1000.pdf
1011 (1),1011,1,,a Roll-Up Door Steel,Set,,,,Part E_1000.pdf
1011 (1),1011,1,,b Roll-Up Door Aluminum,Set,,,,Part E_1000.pdf
1011 (2),1011,2,,Roll-Up Doors,Lump Sum,,,,Part E_1000.pdf
1012 (1),1012,1,,a Basic Annealed Float Glass 3 mm,Square Meter,,,,Part E_1000.pdf
1012 (1),1012,1,,b Basic Annealed Float Glass 4 mm,Square Meter,,,,Part E_1000.pdf
1012 (1),1012,1,,c Basic Annealed Float Glass 5 mm Page 10 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1012 (1),1012,1,,d Basic Annealed Float Glass 5.6 mm,Square Meter,,,,Part E_1000.pdf
1012 (1),1012,1,,e Basic Annealed Float Glass 6 mm,Square Meter,,,,Part E_1000.pdf
1012 (1),1012,1,,f Basic Annealed Float Glass 8 mm,Square Meter,,,,Part E_1000.pdf
1012 (1),1012,1,,g Basic Annealed Float Glass 10 mm,Square Meter,,,,Part E_1000.pdf
1012 (1),1012,1,,h Basic Annealed Float Glass 12 mm,Square Meter,,,,Part E_1000.pdf
1012 (2),1012,2,,Ordinary Window & Sheet Glass 5.6 mm,Square Meter,,,,Part E_1000.pdf
1012 (3) a1,1012,3,a1,Tempered Glass 4 mm,Square Meter,,,,Part E_1000.pdf
1012 (3) a2,1012,3,a2,Tempered Glass 5 mm,Square Meter,,,,Part E_1000.pdf
1012 (3) a3,1012,3,a3,Tempered Glass 6 mm,Square Meter,,,,Part E_1000.pdf
1012 (3) a4,1012,3,a4,Tempered Glass 8 mm,Square Meter,,,,Part E_1000.pdf
1012 (3) a5,1012,3,a5,Tempered Glass 10 mm,Square Meter,,,,Part E_1000.pdf
1012 (3) a6,1012,3,a6,Tempered Glass 12 mm,Square Meter,,,,Part E_1000.pdf
1012 (4) a1,1012,4,a1,Laminated Safety Glass 6 mm,Square Meter,,,,Part E_1000.pdf
1012 (4) a2,1012,4,a2,Laminated Safety Glass 8 mm,Square Meter,,,,Part E_1000.pdf
1012 (4) a3,1012,4,a3,Laminated Safety Glass 10 mm,Square Meter,,,,Part E_1000.pdf
1012 (4) a4,1012,4,a4,Laminated Safety Glass 12 mm,Square Meter,,,,Part E_1000.pdf
1012 (5) a1,1012,5,a1,Special Performance Glass or Processed Glass 6 mm,Square Meter,,,,Part E_1000.pdf
1012 (5) a2,1012,5,a2,Special Performance Glass or Processed Glass 8 mm,Square Meter,,,,Part E_1000.pdf
1012 (5) a3,1012,5,a3,Special Performance Glass or Processed Glass 10 mm,Square Meter,,,,Part E_1000.pdf
1012 (5) a4,1012,5,a4,Special Performance Glass or Processed Glass 12 mm,Square Meter,,,,Part E_1000.pdf
1012 (6) a1,1012,6,a1,Mirror Glass 3 mm,Square Meter,,,,Part E_1000.pdf
1012 (6) a2,1012,6,a2,Mirror Glass 5 mm,Square Meter,,,,Part E_1000.pdf
1012 (6) a3,1012,6,a3,Mirror Glass 6 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a1,1012,7,a1,Safety Glass 3 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a2,1012,7,a2,Safety Glass 4 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a3,1012,7,a3,Safety Glass 4.8 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a4,1012,7,a4,Safety Glass 5 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a5,1012,7,a5,Safety Glass 5.6 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a6,1012,7,a6,Safety Glass 6 mm Page 11 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1012 (7) a7,1012,7,a7,Safety Glass 6.4 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a8,1012,7,a8,Safety Glass 8 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a9,1012,7,a9,Safety Glass 10 mm,Square Meter,,,,Part E_1000.pdf
1012 (7) a10,1012,7,a10,Safety Glass 12 mm,Square Meter,,,,Part E_1000.pdf
1012 (8),1012,8,,Glass and Glazing,Square Meter,,,,Part E_1000.pdf
1013 (1),1013,1,,Corrugated Metal Roofing Gauge 26 (0.551 mm),Square Meter,,,,Part E_1000.pdf
1013 (2),1013,2,,a Fabricated Metal Roofing Accessory Gauge 26 (0.551 mm) Ridge/Hip Rolls,Linear Meter,,,,Part E_1000.pdf
1013 (2),1013,2,,b Fabricated Metal Roofing Accessory Gauge 26 (0.551 mm) Flashing,Linear Meter,,,,Part E_1000.pdf
1013 (2),1013,2,,c Fabricated Metal Roofing Accessory Gauge 24 (0.701 mm) Gutters,Linear Meter,,,,Part E_1000.pdf
1013 (2),1013,2,,d Fabricated Metal Roofing Accessory Downspouts,Linear Meter,,,,Part E_1000.pdf
1013 (2),1013,2,,e Fabricated Metal Roofing Accessory Gauge 24 (0.701 mm) Valley Rolls/Gutter,Linear Meter,,,,Part E_1000.pdf
1013 (2),1013,2,,f Fabricated Metal Roofing Accessory Gauge 24 (0.701 mm) Counter Flashing Gutter,Linear Meter,,,,Part E_1000.pdf
1013 (3),1013,3,,Fabricated Metal Roofing Accessory Gauge 26 (0.551 mm) Plain G.I. Sheet,Each,,,,Part E_1000.pdf
1013 (4),1013,4,,Roof Ventilators,Each,,,,Part E_1000.pdf
1013 (5),1013,5,,Corrugated Asphalt Roofing 3 mm,Square Meter,,,,Part E_1000.pdf
1013 (6),1013,6,,a Fabricated Asphalt Roofing Accessory Gauge 26 (0.551 mm) Ridge/Hip Rolls,Linear Meter,,,,Part E_1000.pdf
1013 (6),1013,6,,b Fabricated Asphalt Roofing Accessory Gauge 26 (0.551 mm) Flashings,Linear Meter,,,,Part E_1000.pdf
1013 (6),1013,6,,c Fabricated Asphalt Roofing Accessory Gauge 24 (0.701 mm) Gutters,Linear Meter,,,,Part E_1000.pdf
1013 (6),1013,6,,d Fabricated Asphalt Roofing Accessory Downspouts,Linear Meter,,,,Part E_1000.pdf
1013 (6),1013,6,,e Fabricated Asphalt Roofing Accessory Gauge 24 (0.701 mm) Valley Rolls/Gutter,Linear Meter,,,,Part E_1000.pdf
1013 (6),1013,6,,f Fabricated Asphalt Roofing Accessory Gauge 24 (0.701 mm) Counter Flashing Gutter,Linear Meter,,,,Part E_1000.pdf
1014 (1) a1,1014,1,a1,Pre-painted Metal Sheets below 0.427 mm Corrugated Short Span Page 12 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1014 (1) a2,1014,1,a2,Pre-painted Metal Sheets above 0.427 mm Corrugated Long Span,Square Meter,,,,Part E_1000.pdf
1014 (1) b1,1014,1,b1,Pre-painted Metal Sheets below 0.427 mm Rib Type Short Span,Square Meter,,,,Part E_1000.pdf
1014 (1) b2,1014,1,b2,Pre-painted Metal Sheets above 0.427 mm Rib Type Long Span,Square Meter,,,,Part E_1000.pdf
1015 (1),1015,1,,Clay Roof Tile,Square Meter,,,,Part E_1000.pdf
1016 (1),1016,1,,a Waterproofing Cement-base,Square Meter,,,,Part E_1000.pdf
1016 (1),1016,1,,b Waterproofing Liquid,Square Meter,,,,Part E_1000.pdf
1016 (2),1016,2,,Built-up and Preformed Membrane,Square Meter,,,,Part E_1000.pdf
1017 (1),1017,1,,a Roof Drain with Strainer 50 mm dia,Set,,,,Part E_1000.pdf
1017 (1),1017,1,,b Roof Drain with Strainer 75 mm dia,Set,,,,Part E_1000.pdf
1017 (1),1017,1,,c Roof Drain with Strainer 100 mm dia,Set,,,,Part E_1000.pdf
1017 (1),1017,1,,d Roof Drain with Strainer 150 mm dia,Set,,,,Part E_1000.pdf
1017 (2),1017,2,,a Canopy Drain with Strainer 50 mm dia,Set,,,,Part E_1000.pdf
1017 (2),1017,2,,b Canopy Drain with Strainer 75 mm dia Page 13 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Set,,,,Part E_1000.pdf
1017 (2),1017,2,,c Canopy Drain with Strainer 100 mm dia,Set,,,,Part E_1000.pdf
1017 (2),1017,2,,d Canopy Drain with Strainer 150 mm dia,Set,,,,Part E_1000.pdf
1017 (3),1017,3,,a Gutter Drain with Strainer 50 mm dia,Set,,,,Part E_1000.pdf
1017 (3),1017,3,,b Gutter Drain with Strainer 75 mm dia,Set,,,,Part E_1000.pdf
1017 (3),1017,3,,c Gutter Drain with Strainer 100 mm dia,Set,,,,Part E_1000.pdf
1018 (1),1018,1,,Glazed Tiles and Trims,Square Meter,,,,Part E_1000.pdf
1018 (2),1018,2,,Unglazed Tiles,Square Meter,,,,Part E_1000.pdf
1018 (3),1018,3,,Granite Tiles,Square Meter,,,,Part E_1000.pdf
1018 (4),1018,4,,Synthetic Granite Tiles,Square Meter,,,,Part E_1000.pdf
1018 (5),1018,5,,Glazed Tiles,Square Meter,,,,Part E_1000.pdf
1018 (6),1018,6,,Textured Glazed Tiles,Square Meter,,,,Part E_1000.pdf
1018 (7),1018,7,,Textured Unglazed Tiles,Square Meter,,,,Part E_1000.pdf
1018 (8),1018,8,,Glazed Tiles and Trims,Lump Sum,,,,Part E_1000.pdf
1018 (9),1018,9,,Unglazed Tiles,Lump Sum,,,,Part E_1000.pdf
1018 (10),1018,10,,Granite Tiles,Lump Sum,,,,Part E_1000.pdf
1018 (11),1018,11,,Synthetic Granite Tiles,Lump Sum,,,,Part E_1000.pdf
1018 (12),1018,12,,Glazed Tiles,Lump Sum,,,,Part E_1000.pdf
1018 (13),1018,13,,Textured Glazed Tiles,Lump Sum,,,,Part E_1000.pdf
1018 (14),1018,14,,Textured Unglazed Tiles,Lump Sum,,,,Part E_1000.pdf
1019 (1),1019,1,,"a Wood Tile, Flooring Narra Page 14 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS",Square Meter,,,,Part E_1000.pdf
1019 (1),1019,1,,"b Wood Tile, Flooring Tanguile",Square Meter,,,,Part E_1000.pdf
1019 (1),1019,1,,"c Wood Tile, Flooring Other",Square Meter,,,,Part E_1000.pdf
1019 (1),1019,1,,"d Wood Tile, Flooring Laminated",Square Meter,,,,Part E_1000.pdf
1019 (2),1019,2,,"a Wood Tile, Walls Narra",Square Meter,,,,Part E_1000.pdf
1019 (2),1019,2,,"b Wood Tile, Walls Tanguile",Square Meter,,,,Part E_1000.pdf
1019 (2),1019,2,,"c Wood Tile, Walls Other",Square Meter,,,,Part E_1000.pdf
1019 (2),1019,2,,"d Wood Tile, Walls Laminated",Square Meter,,,,Part E_1000.pdf
1019 (3),1019,3,,"a Wood Tile, Ceiling Narra",Square Meter,,,,Part E_1000.pdf
1019 (3),1019,3,,"b Wood Tile, Ceiling Tanguile",Square Meter,,,,Part E_1000.pdf
1019 (3),1019,3,,"c Wood Tile, Ceiling Other",Square Meter,,,,Part E_1000.pdf
1019 (3),1019,3,,"d Wood Tile, Ceiling Laminated",Square Meter,,,,Part E_1000.pdf
1020 (1),1020,1,,a Vinyl Floor Tile,Square Meter,,,,Part E_1000.pdf
1020 (1),1020,1,,b Vinyl Floor Tile,Lump Sum,,,,Part E_1000.pdf
1021 (1),1021,1,,a Cement Floor Finish Plain,Square Meter,,,,Part E_1000.pdf
1021 (1),1021,1,,b Cement Floor Finish Colored,Square Meter,,,,Part E_1000.pdf
1021 (1),1021,1,,c Cement Floor Finish with Floor Hardener,Square Meter,,,,Part E_1000.pdf
1021 (2),1021,2,,Stamped Concrete,Square Meter,,,,Part E_1000.pdf
1021 (3),1021,3,,a Floor Topping Plain,Square Meter,,,,Part E_1000.pdf
1021 (3),1021,3,,b Floor Topping Trowelled Finish,Square Meter,,,,Part E_1000.pdf
1021 (3),1021,3,,c Floor Topping Dry-Shake Finish Page 15 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1021 (4),1021,4,,Straight to Finish,Square Meter,,,,Part E_1000.pdf
1021 (5),1021,5,,Cement Broom Finish,Square Meter,,,,Part E_1000.pdf
1021 (6),1021,6,,Nonslip Finish,Square Meter,,,,Part E_1000.pdf
1021 (7),1021,7,,Scratched Finish,Square Meter,,,,Part E_1000.pdf
1021 (8),1021,8,,Floated Finish,Square Meter,,,,Part E_1000.pdf
1021 (9),1021,9,,Exposed Aggregate Finish,Square Meter,,,,Part E_1000.pdf
1021 (10),1021,10,,Gloss-imparting Waxes,Square Meter,,,,Part E_1000.pdf
1021 (11),1021,11,,Evaporation Reducers,Square Meter,,,,Part E_1000.pdf
