Pay Item,Pay Item (Normalized),Description,Unit,Trade,Category,Division,Part,Item,Sources
"1002 (8)","1002 (8)","Water Closet, Round Front, Automatic Flush Valve, Complete Sensor Type","Set","Plumbing","Water Supply and Plumbing Fixtures","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1002 (9) a","1002 (9)A","Urinal, Flush Valve, Complete Push Button Type","Set","Plumbing","Water Supply and Plumbing Fixtures","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1002 (9) b","1002 (9)B","Urinal, Flush Valve, Complete Lever Arm Type","Set","Plumbing","Water Supply and Plumbing Fixtures","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) a1","1003 (1)A1","Ceiling 4.5 mm Metal Frame Fiber Cement Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) a2","1003 (1)A2","Ceiling 4.5 mm Wood Frame Fiber Cement Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) b1","1003 (1)B1","Ceiling 4.5 mm Metal Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) b2","1003 (1)B2","Ceiling 4.5 mm Wood Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) b3","1003 (1)B3","Ceiling 6 mm Metal Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) b4","1003 (1)B4","Ceiling 6 mm Wood Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) c1","1003 (1)C1","Ceiling 6 mm Metal Frame Ordinary Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) c2","1003 (1)C2","Ceiling 6 mm Wood Frame Ordinary Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) d","1003 (1)D","Ceiling Metal Frame Gypsum Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) e","1003 (1)E","Ceiling Metal Frame Prepainted Metal Panel","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) f","1003 (1)F","Ceiling Metal Frame Aluminum Metal Cladding","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (1) g","1003 (1)G","Ceiling Wood Frame Wood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (10)","1003 (10)","Wall Frame Wood","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (11) a1","1003 (11)A1","Fascia Board 19 mm Fiber Cement Board","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (11) a2","1003 (11)A2","Fascia Board 25 mm Lumber","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (12)","1003 (12)","Fascia Board Metal","Kilogram","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (13)","1003 (13)","Phenolic Board","Each","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (14)","1003 (14)","Phenolic Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (15) a","1003 (15)A","Moulding Wood","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (15) b","1003 (15)B","Moulding Concrete","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (15) c","1003 (15)C","Moulding Precast Page 7 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (15) d","1003 (15)D","Moulding PVC","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (15) e","1003 (15)E","Moulding Steel","Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (16)","1003 (16)","Pressurized Laminated Wood Particles","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (17)","1003 (17)","Carpentry and Joinery Works","Lump Sum","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (18)","1003 (18)","Lawanit","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) a1","1003 (2)A1","Wall 4.5 mm Metal Frame Fiber Cement Board Page 6 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) a2","1003 (2)A2","Wall 4.5 mm Wood Frame Fiber Cement Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) a3","1003 (2)A3","Wall 6 mm Metal Frame Fiber Cement Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) a4","1003 (2)A4","Wall 10 mm Metal Frame Fiber Cement Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) a5","1003 (2)A5","Wall 12 mm Metal Frame Fiber Cement Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) a6","1003 (2)A6","Wall 6 mm Wood Frame Fiber Cement Board","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) b1","1003 (2)B1","Wall 4.5 mm Metal Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) b2","1003 (2)B2","Wall 4.5 mm Wood Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) b3","1003 (2)B3","Wall 6 mm Metal Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) b4","1003 (2)B4","Wall 6 mm Wood Frame Marine Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) c1","1003 (2)C1","Wall 6 mm Metal Frame Ordinary Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) c2","1003 (2)C2","Wall 6 mm Wood Frame Ordinary Plywood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (2) d","1003 (2)D","Wall Aluminum Metal Cladding","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (21)","1003 (21)","Moulding","Lump Sum","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (22)","1003 (22)","Modular Partition","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (23)","1003 (23)","Modular Partition","Lump Sum","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (24)","1003 (24)","Wall","Lump Sum","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (3)","1003 (3)","Cabinets","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (4)","1003 (4)","Cabinets","Each","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (7)","1003 (7)","Flooring Wood","Square Meter","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1003 (9)","1003 (9)","Wall Frame Wood","Each","Carpentry","Carpentry and Joinery","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1004 (1)","1004 (1)","Rough Hardware","Lump Sum","Hardware","Hardware","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1004 (2)","1004 (2)","Finishing Hardware","Lump Sum","Hardware","Hardware","DIVISION II - BUILDING","PART E","ITEM 1002 � PLUMBING","BuildingEstimate, Cost-Estimate"
"1005 (1)","1005 (1)","Residential Casement","Square Meter","Doors & Windows","Steel Windows","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1005 (2)","1005 (2)","Heavy Duty Side-hinged Ventilator","Square Meter","Doors & Windows","Steel Windows","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1005 (3)","1005 (3)","Projected Ventilator","Square Meter","Doors & Windows","Steel Windows","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1005 (4)","1005 (4)","Awning Ventilator","Square Meter","Doors & Windows","Steel Windows","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1005 (5)","1005 (5)","Steel Window","Lump Sum","Doors & Windows","Steel Windows","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1005 (6)","1005 (6)","Window Accessory Page 8 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Lump Sum","Doors & Windows","Steel Windows","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1006 (1)","1006 (1)","Hollow Steel Door","Square Meter","Doors & Windows","Steel Doors","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1006 (2)","1006 (2)","Flush Door","Square Meter","Doors & Windows","Steel Doors","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1006 (3)","1006 (3)","Grille Door","Square Meter","Doors & Windows","Steel Doors","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1006 (4)","1006 (4)","Steel Louver Door","Square Meter","Doors & Windows","Steel Doors","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1006 (5)","1006 (5)","Fire Rated Fire Exit Steel Door","Square Meter","Doors & Windows","Steel Doors","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1006 (6)","1006 (6)","Steel Doors and Frames","Lump Sum","Doors & Windows","Steel Doors","DIVISION II - BUILDING","PART E","ITEM 1005 � STEEL WINDOWS","BuildingEstimate, Cost-Estimate"
"1007 (1) a","1007 (1)A","Aluminum Framed Glass Door Sliding Type","Square Meter","Doors & Windows","Aluminum Glass Doors","DIVISION II - BUILDING","PART E","ITEM 1007 � ALUMINUM FRAMED GLASS DOORS","BuildingEstimate, Cost-Estimate"
"1007 (1) b","1007 (1)B","Aluminum Framed Glass Door Swing Type","Square Meter","Doors & Windows","Aluminum Glass Doors","DIVISION II - BUILDING","PART E","ITEM 1007 � ALUMINUM FRAMED GLASS DOORS","BuildingEstimate, Cost-Estimate"
"1007 (2)","1007 (2)","Aluminum Framed Glass Door","Lump Sum","Doors & Windows","Aluminum Glass Doors","DIVISION II - BUILDING","PART E","ITEM 1007 � ALUMINUM FRAMED GLASS DOORS","BuildingEstimate, Cost-Estimate"
"1008 (1) a","1008 (1)A","Aluminum Glass Windows Sliding Type","Square Meter","Doors & Windows","Aluminum Glass Windows","DIVISION II - BUILDING","PART E","ITEM 1008 � ALUMINUM GLASS WINDOWS","BuildingEstimate, Cost-Estimate"
"1008 (1) b","1008 (1)B","Aluminum Glass Windows Casement Type","Square Meter","Doors & Windows","Aluminum Glass Windows","DIVISION II - BUILDING","PART E","ITEM 1008 � ALUMINUM GLASS WINDOWS","BuildingEstimate, Cost-Estimate"
"1008 (1) c","1008 (1)C","Aluminum Glass Windows Awning Type","Square Meter","Doors & Windows","Aluminum Glass Windows","DIVISION II - BUILDING","PART E","ITEM 1008 � ALUMINUM GLASS WINDOWS","BuildingEstimate, Cost-Estimate"
"1008 (1) d","1008 (1)D","Aluminum Glass Windows Fixed Type","Square Meter","Doors & Windows","Aluminum Glass Windows","DIVISION II - BUILDING","PART E","ITEM 1008 � ALUMINUM GLASS WINDOWS","BuildingEstimate, Cost-Estimate"
"1008 (2)","1008 (2)","Aluminum Glass Windows","Lump Sum","Doors & Windows","Aluminum Glass Windows","DIVISION II - BUILDING","PART E","ITEM 1008 � ALUMINUM GLASS WINDOWS","BuildingEstimate, Cost-Estimate"
"1009 (1) a","1009 (1)A","Jalousie Windows Glass Page 9 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Square Meter","Doors & Windows","Jalousie Windows","DIVISION II - BUILDING","PART E","ITEM 1009 � JALOUSIE WINDOWS","BuildingEstimate, Cost-Estimate"
"1009 (1) b","1009 (1)B","Jalousie Windows Wood","Square Meter","Doors & Windows","Jalousie Windows","DIVISION II - BUILDING","PART E","ITEM 1009 � JALOUSIE WINDOWS","BuildingEstimate, Cost-Estimate"
"1009 (2)","1009 (2)","Jalousie Windows Jambs, Sills, Head,","Lump Sum","Doors & Windows","Jalousie Windows","DIVISION II - BUILDING","PART E","ITEM 1009 � JALOUSIE WINDOWS","BuildingEstimate, Cost-Estimate"
"1010 (1)","1010 (1)","Frames Transoms and Mullions","Set","Doors & Windows","Wooden Doors and Windows","DIVISION II - BUILDING","PART E","ITEM 1010 � WOODEN DOORS AND WINDOWS","BuildingEstimate, Cost-Estimate"
"1010 (2) a","1010 (2)A","Doors Flush","Square Meter","Doors & Windows","Wooden Doors and Windows","DIVISION II - BUILDING","PART E","ITEM 1010 � WOODEN DOORS AND WINDOWS","BuildingEstimate, Cost-Estimate"
"1010 (2) b","1010 (2)B","Doors Wood Panel","Square Meter","Doors & Windows","Wooden Doors and Windows","DIVISION II - BUILDING","PART E","ITEM 1010 � WOODEN DOORS AND WINDOWS","BuildingEstimate, Cost-Estimate"
"1010 (2) c","1010 (2)C","Doors Glass Panel","Square Meter","Doors & Windows","Wooden Doors and Windows","DIVISION II - BUILDING","PART E","ITEM 1010 � WOODEN DOORS AND WINDOWS","BuildingEstimate, Cost-Estimate"
"1010 (3)","1010 (3)","Window Sashes","Square Meter","Doors & Windows","Wooden Doors and Windows","DIVISION II - BUILDING","PART E","ITEM 1010 � WOODEN DOORS AND WINDOWS","BuildingEstimate, Cost-Estimate"
"1010 (4)","1010 (4)","Wooden Doors and Windows","Lump Sum","Doors & Windows","Wooden Doors and Windows","DIVISION II - BUILDING","PART E","ITEM 1010 � WOODEN DOORS AND WINDOWS","BuildingEstimate, Cost-Estimate"
"1011 (1) a","1011 (1)A","Roll-Up Door Steel","Set","Doors & Windows","Roll-Up Doors","DIVISION II - BUILDING","PART E","ITEM 1011 � ROLL-UP DOORS","BuildingEstimate, Cost-Estimate"
"1011 (1) b","1011 (1)B","Roll-Up Door Aluminum","Set","Doors & Windows","Roll-Up Doors","DIVISION II - BUILDING","PART E","ITEM 1011 � ROLL-UP DOORS","BuildingEstimate, Cost-Estimate"
"1011 (2)","1011 (2)","Roll-Up Doors","Lump Sum","Doors & Windows","Roll-Up Doors","DIVISION II - BUILDING","PART E","ITEM 1011 � ROLL-UP DOORS","BuildingEstimate, Cost-Estimate"
"1012 (1) a","1012 (1)A","Basic Annealed Float Glass 3 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (1) b","1012 (1)B","Basic Annealed Float Glass 4 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (1) c","1012 (1)C","Basic Annealed Float Glass 5 mm Page 10 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (1) d","1012 (1)D","Basic Annealed Float Glass 5.6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (1) e","1012 (1)E","Basic Annealed Float Glass 6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (1) f","1012 (1)F","Basic Annealed Float Glass 8 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (1) g","1012 (1)G","Basic Annealed Float Glass 10 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (1) h","1012 (1)H","Basic Annealed Float Glass 12 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (2)","1012 (2)","Ordinary Window & Sheet Glass 5.6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (3) a1","1012 (3)A1","Tempered Glass 4 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (3) a2","1012 (3)A2","Tempered Glass 5 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (3) a3","1012 (3)A3","Tempered Glass 6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (3) a4","1012 (3)A4","Tempered Glass 8 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (3) a5","1012 (3)A5","Tempered Glass 10 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (3) a6","1012 (3)A6","Tempered Glass 12 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (4) a1","1012 (4)A1","Laminated Safety Glass 6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (4) a2","1012 (4)A2","Laminated Safety Glass 8 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (4) a3","1012 (4)A3","Laminated Safety Glass 10 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (4) a4","1012 (4)A4","Laminated Safety Glass 12 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (5) a1","1012 (5)A1","Special Performance Glass or Processed Glass 6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (5) a2","1012 (5)A2","Special Performance Glass or Processed Glass 8 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (5) a3","1012 (5)A3","Special Performance Glass or Processed Glass 10 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (5) a4","1012 (5)A4","Special Performance Glass or Processed Glass 12 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (6) a1","1012 (6)A1","Mirror Glass 3 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (6) a2","1012 (6)A2","Mirror Glass 5 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (6) a3","1012 (6)A3","Mirror Glass 6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a1","1012 (7)A1","Safety Glass 3 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a10","1012 (7)A10","Safety Glass 12 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a2","1012 (7)A2","Safety Glass 4 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a3","1012 (7)A3","Safety Glass 4.8 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a4","1012 (7)A4","Safety Glass 5 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a5","1012 (7)A5","Safety Glass 5.6 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a6","1012 (7)A6","Safety Glass 6 mm Page 11 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a7","1012 (7)A7","Safety Glass 6.4 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a8","1012 (7)A8","Safety Glass 8 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (7) a9","1012 (7)A9","Safety Glass 10 mm","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1012 (8)","1012 (8)","Glass and Glazing","Square Meter","Glass & Glazing","Glass and Glazing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
"1013 (1)","1013 (1)","Corrugated Metal Roofing Gauge 26 (0.551 mm)","Square Meter","Roofing","Metal Roofing","DIVISION II - BUILDING","PART E","ITEM 1012 � GLASS AND GLAZING","BuildingEstimate, Cost-Estimate"
